,Country/Territory,Cases,Recovered,Deaths
1,India,"31,812,114","30,974,748","426,290"
2,Brazil,"20,066,587","18,102,750","560,706"
3,Russia,"6,296,570","5,629,581","159,803"
4,Turkey,"5,822,487","5,478,185","51,767"
5,Argentina,"4,989,402","4,630,436","107,023"
6,Colombia,"4,821,603","4,624,669","121,899"
7,Italy,"4,377,188","4,147,979","128,163"
8,Germany,"3,789,460","3,659,510","91,741"
9,Iran,"4,057,758","3,467,765","92,628"
10,Indonesia,"3,568,331","2,947,646","102,375"
11,Poland,"2,883,624","2,654,097","75,275"
12,Mexico,"2,901,094","2,270,427","242,547"
13,South Africa,"2,497,655","2,268,085","73,873"
14,Ukraine,"2,339,731","2,259,446","55,755"
15,Peru,"2,119,068","2,086,086","196,673"
16,Czechia,"1,674,410","1,641,485","30,371"
17,Chile,"1,620,389","1,576,242","35,806"
18,Iraq,"1,684,955","1,502,221","19,000"
19,Canada,"1,443,771","1,406,473","26,601"
20,Bangladesh,"1,322,654","1,156,943","21,902"
21,Philippines,"1,149,925","1,076,428","19,262"
22,Romania,"1,084,226","1,048,215","34,300"
23,Malaysia,"1,203,706","976,626","10,019"
24,Pakistan,"1,053,660","952,616","23,635"
25,Portugal,"979,987","917,367","17,422"
26,Japan,"986,882","858,305","15,253"
27,Israel,"890,201","857,137","6,509"
28,Jordan,"775,251","753,006","10,100"
29,Hungary,"809,803","750,955","30,032"
30,United Arab Emirates,"688,489","665,593","1,967"
31,Nepal,"708,079","663,663","9,994"
32,Austria,"661,359","644,840","10,745"
33,Morocco,"665,325","590,032","10,087"
34,Kazakhstan,"672,895","555,079","9,909"
35,Lebanon,"567,044","538,039","7,926"
36,Tunisia,"602,757","530,545","20,550"
37,Saudi Arabia,"526,814","507,374","8,249"
38,Belarus,"450,445","444,613","3,503"
39,Ecuador,"489,089","443,880","31,694"
40,Paraguay,"453,794","423,964","15,172"
41,Panama,"438,781","420,113","6,860"
42,France,"6,298,649","415,705","112,282"
43,Bolivia,"476,097","411,830","17,910"
44,Bulgaria,"426,932","398,768","18,243"
45,Georgia,"436,573","393,453","5,986"
46,Kuwait,"401,697","389,798","2,356"
47,Cuba,"431,013","382,141","3,184"
48,Uruguay,"382,155","374,386","5,982"
49,Croatia,"364,491","355,000","8,270"
50,Costa Rica,"414,745","335,510","5,108"
51,Guatemala,"381,514","333,958","10,578"
52,Azerbaijan,"348,074","333,913","5,043"
53,Dominican Republic,"343,512","325,177","3,971"
54,Switzerland,"722,801","317,600","10,909"
55,West Bank and Gaza,"317,534","312,362","3,609"
56,Denmark,"322,292","308,174","2,554"
57,Venezuela,"309,218","294,607","3,649"
58,Sri Lanka,"321,429","286,365","4,821"
59,Oman,"298,020","282,763","3,906"
60,Lithuania,"284,432","270,037","4,424"
61,Bahrain,"269,737","267,301","1,384"
62,Ethiopia,"282,498","264,165","4,406"
63,Slovakia,"392,898","255,300","12,541"
64,Slovenia,"259,764","254,042","4,429"
65,Moldova,"260,183","252,548","6,270"
66,Egypt,"284,472","232,179","16,550"
67,Myanmar,"319,250","230,308","10,988"
68,Qatar,"227,055","224,384",601
69,Armenia,"231,322","220,617","4,632"
70,Libya,"262,948","196,714","3,663"
71,Kenya,"208,262","195,685","4,057"
72,Bosnia & Herzegovina,"206,031","190,492","9,689"
73,Zambia,"198,455","190,279","3,447"
74,South Korea,"205,702","180,719","2,109"
75,Nigeria,"176,011","165,208","2,167"
76,Mongolia,"169,851","158,685",836
77,Kyrgyzstan,"167,076","152,402","2,372"
78,North Macedonia,"156,926","150,470","5,501"
79,Spain,"4,566,571","150,376","81,931"
80,Latvia,"139,204","135,795","2,558"
81,Albania,"133,442","130,343","2,457"
